City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.33,62.01,59,0,1.99,AU,1606265562
Albany,42.6,-73.97,33.01,61,99,2.55,US,1606265562
Port Elizabeth,-33.92,25.57,59.0,77,0,11.41,ZA,1606265562
Nampula,-15.12,39.27,77.0,69,75,12.75,MZ,1606265562
Zhezkazgan,47.8,67.71,9.32,96,84,10.13,KZ,1606265563
Pevek,69.7,170.31,23.4,96,100,15.28,RU,1606265563
Dikson,73.51,80.55,9.59,96,100,21.05,RU,1606265563
Punta Arenas,-53.15,-70.92,46.4,75,75,13.87,CL,1606265563
Port-Cartier,50.03,-66.87,17.6,61,0,14.99,CA,1606265563
Flin Flon,54.77,-101.86,8.6,92,75,3.69,CA,1606265564
Victor Harbor,-35.57,138.62,84.0,35,0,9.28,AU,1606265564
Saint George,37.1,-113.58,55.4,24,1,3.36,US,1606265403
Bethel,41.37,-73.41,36.0,80,1,3.36,US,1606265561
Maxixe,-23.86,35.35,77.49,93,8,10.16,MZ,1606265564
Inhambane,-23.86,35.38,77.79,93,16,11.21,MZ,1606265487
Malbork,54.04,19.03,39.99,100,100,10.25,PL,1606265565
Puerto Ayora,-0.74,-90.35,72.0,89,61,5.01,EC,1606265565
Tasiilaq,65.61,-37.64,21.2,79,100,10.29,GL,1606265565
Ribeira Grande,38.52,-28.7,57.34,58,6,15.82,PT,1606265565
Provideniya,64.38,-173.3,39.2,86,90,29.08,RU,1606265565
Atuona,-9.8,-139.03,78.64,73,75,13.22,PF,1606265566
Hermanus,-34.42,19.23,57.0,71,28,1.99,ZA,1606265566
Namatanai,-3.67,152.43,85.05,67,100,7.47,PG,1606265566
Pareora,-44.49,171.21,59.92,71,42,10.96,NZ,1606265566
Arraial do Cabo,-22.97,-42.03,75.2,78,75,14.99,BR,1606265566
Hithadhoo,-0.6,73.08,81.63,79,0,11.07,MV,1606265567
Nakamura,32.98,132.93,58.15,70,100,3.15,JP,1606265567
Tiksi,71.69,128.87,-1.84,92,94,7.72,RU,1606265567
Port Lincoln,-34.73,135.87,79.48,33,0,7.61,AU,1606265429
Vaini,-21.2,-175.2,82.4,78,75,9.17,TO,1606265567
Kapaa,22.08,-159.32,80.6,74,90,19.46,US,1606265567
